Sofascore_Name,id,minutes,SoT,Shots,Tackles,fouls_commited,fouls_received,Goals,xG,Assists,xA,round,Match
Oliver Norwood,100637,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
William Osula,1122603,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
Wesley Foderingham,187861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
Sam Curtis,1133697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
Andre Brooks,1396445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
Yasser Larouci,927360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Bournemouth - Sheffield United
Sam Johnstone,98427,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Joel Ward,39183,90.0,0.0,1.0,2.0,2.0,1.0,0.0,0.1803,0.0,0.00971243,28,Crystal Palace - Luton Town
Joachim Andersen,362682,90.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0585,0.0,0.208886,28,Crystal Palace - Luton Town
Chris Richards,931844,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Daniel Muñoz,870360,90.0,0.0,1.0,0.0,3.0,0.0,0.0,0.3727,1.0,0.148133,28,Crystal Palace - Luton Town
Adam Wharton,1109771,81.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0501606,28,Crystal Palace - Luton Town
Jefferson Lerma,355796,90.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0332,0.0,0.275027,28,Crystal Palace - Luton Town
Tyrick Mitchell,988275,90.0,0.0,1.0,5.0,3.0,0.0,0.0,0.1573,0.0,0.317542,28,Crystal Palace - Luton Town
Jordan Ayew,103045,70.0,1.0,2.0,1.0,3.0,2.0,0.0,0.1803,0.0,0.00880977,28,Crystal Palace - Luton Town
Jean-Philippe Mateta,848276,81.0,2.0,4.0,0.0,2.0,1.0,1.0,1.1056,0.0,0.0413383,28,Crystal Palace - Luton Town
Eberechi Eze,864921,90.0,1.0,6.0,1.0,3.0,1.0,0.0,0.5326,0.0,0.696842,28,Crystal Palace - Luton Town
Naouirou Ahamada,997104,20.0,0.0,2.0,2.0,0.0,1.0,0.0,0.137,0.0,0.0,28,Crystal Palace - Luton Town
Will Hughes,193554,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0374967,28,Crystal Palace - Luton Town
Odsonne Édouard,795228,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.021,0.0,0.012693,28,Crystal Palace - Luton Town
Dean Henderson,788134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
James Tomkins,32124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Nathaniel Clyne,43215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
David Ozoh,1212155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Kaden Rodney,1185603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Luke Plange,1082694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Thomas Kaminski,45959,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Reece Burke,372342,90.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00510179,28,Crystal Palace - Luton Town
Teden Mengi,979233,62.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Gabriel Osho,920680,81.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0205,0.0,0.00682028,28,Crystal Palace - Luton Town
Issa Kaboré,1006189,90.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0082894,28,Crystal Palace - Luton Town
Jordan Clark,150477,87.0,0.0,1.0,3.0,0.0,3.0,0.0,0.05,0.0,0.0154792,28,Crystal Palace - Luton Town
Ross Barkley,98435,90.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0445,0.0,0.0552461,28,Crystal Palace - Luton Town
Alfie Doughty,945792,90.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.248644,28,Crystal Palace - Luton Town
Chiedozie Ogbene,849309,87.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3309,0.0,0.0121083,28,Crystal Palace - Luton Town
Tahith Chong,825845,88.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0838361,28,Crystal Palace - Luton Town
Carlton Morris,358222,90.0,1.0,2.0,0.0,1.0,3.0,0.0,0.2637,0.0,0.0228745,28,Crystal Palace - Luton Town
Daiki Hashioka,897334,28.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0532,0.0,0.0,28,Crystal Palace - Luton Town
Cauley Woodrow,140487,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0792,0.0,0.0,28,Crystal Palace - Luton Town
Luke Berry,97465,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Zack Nelson,1394950,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Andros Townsend,47992,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047461,28,Crystal Palace - Luton Town
James Shea,137789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Tim Krul,18154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Pelly Ruddock Mpanzu,387116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
Axel Piesold,1468580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Crystal Palace - Luton Town
José Sá,252669,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Nélson Semedo,252821,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0724,0.0,0.00994494,28,Wolverhampton - Fulham
Santiago Bueno,846308,90.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Max Kilman,894474,90.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0149,0.0,0.00814548,28,Wolverhampton - Fulham
Rayan Aït Nouri,931278,90.0,2.0,2.0,1.0,1.0,4.0,1.0,0.293,0.0,0.0573199,28,Wolverhampton - Fulham
João Gomes,1015267,90.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.211053,28,Wolverhampton - Fulham
Mario Lemina,307284,90.0,0.0,1.0,0.0,1.0,2.0,0.0,0.2107,0.0,0.076115,28,Wolverhampton - Fulham
Pedro Neto,879349,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0309,0.0,0.0375489,28,Wolverhampton - Fulham
Pablo Sarabia,138573,90.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0405938,28,Wolverhampton - Fulham
Jean-Ricner Bellegarde,845273,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Nathan Fraser,1166679,77.0,1.0,1.0,2.0,1.0,1.0,0.0,0.1889,0.0,0.0,28,Wolverhampton - Fulham
Tommy Doyle,932628,79.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0233,0.0,0.0180179,28,Wolverhampton - Fulham
Toti Gomes,973418,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.325216,28,Wolverhampton - Fulham
Matt Doherty,143047,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Daniel Bentley,101367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Hugo Bueno,1013928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Boubacar Traoré,982613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Tawanda Chirewa,1005725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Noha Lemina,1145633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Leon Chiwome,1400646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Bernd Leno,103335,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
Timothy Castagne,329417,79.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0390101,28,Wolverhampton - Fulham
Tosin Adarabioyo,352668,90.0,0.0,1.0,2.0,2.0,0.0,0.0,0.2132,0.0,0.122787,28,Wolverhampton - Fulham
Calvin Bassey,861972,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Wolverhampton - Fulham
