"","id","Date","Time","Competition","Gameweek","Team","Opponent","Venue","ForAgainst","Result","Yellow_Cards","Red_Cards","Season"
"9784",9785,"2023-04-22","20:30","Liga Argentina","Matchweek 13","Central Cordoba SdE","Godoy Cruz","Away","Against","W",2,0,2023
"9785",9786,"2023-04-29","19:00","Liga Argentina","Matchweek 14","Central Cordoba SdE","Instituto","Home","Against","L",4,0,2023
"9786",9787,"2023-05-08","21:30","Liga Argentina","Matchweek 15","Central Cordoba SdE","Sarmiento","Away","Against","W",1,0,2023
"9787",9788,"2023-05-15","15:30","Liga Argentina","Matchweek 16","Central Cordoba SdE","Barracas Central","Home","Against","D",2,0,2023
"9788",9789,"2023-05-19","19:00","Liga Argentina","Matchweek 17","Central Cordoba SdE","Unión","Away","Against","W",3,0,2023
"9789",9790,"2023-05-29","16:30","Liga Argentina","Matchweek 18","Central Cordoba SdE","Colón","Home","Against","D",1,1,2023
"9790",9791,"2023-06-03","19:00","Liga Argentina","Matchweek 19","Central Cordoba SdE","Huracán","Away","Against","L",1,0,2023
"9791",9792,"2023-06-12","17:00","Liga Argentina","Matchweek 20","Central Cordoba SdE","San Lorenzo","Home","Against","D",1,0,2023
"9792",9793,"2023-06-21","21:30","Liga Argentina","Matchweek 21","Central Cordoba SdE","Gimnasia–LP","Away","Against","D",1,0,2023
"9793",9794,"2023-07-01","19:00","Liga Argentina","Matchweek 22","Central Cordoba SdE","Estudiantes","Home","Against","D",2,0,2023
"9794",9795,"2023-07-07","21:30","Liga Argentina","Matchweek 23","Central Cordoba SdE","Newell's OB","Away","Against","L",2,0,2023
"9795",9796,"2023-07-11","18:45","Liga Argentina","Matchweek 24","Central Cordoba SdE","Rosario Central","Home","Against","W",5,0,2023
"9796",9797,"2023-07-16","21:30","Liga Argentina","Matchweek 25","Central Cordoba SdE","Independiente","Away","Against","W",2,1,2023
"9797",9798,"2023-07-24","19:30","Liga Argentina","Matchweek 26","Central Cordoba SdE","Racing Club","Home","Against","W",0,0,2023
"9798",9799,"2023-07-29","14:30","Liga Argentina","Matchweek 27","Central Cordoba SdE","Atlé Tucumán","Away","Against","W",1,0,2023
"9799",9800,"2023-08-21","20:30","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Newell's OB","Home","Against","W",3,1,2023
"9800",9801,"2023-08-27","14:30","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Godoy Cruz","Home","Against","W",0,0,2023
"9801",9802,"2023-09-01","21:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Platense","Away","Against","L",0,1,2023
"9802",9803,"2023-09-13","20:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Sarmiento","Home","Against","L",2,0,2023
"9803",9804,"2023-09-19","18:45","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Boca Juniors","Away","Against","W",1,0,2023
"9804",9805,"2023-09-23","21:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Defensa y Just","Away","Against","L",1,0,2023
"9805",9806,"2023-10-02","21:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Atlé Tucumán","Home","Against","D",2,0,2023
"9806",9807,"2023-10-07","21:30","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Tigre","Away","Against","L",2,0,2023
"9807",9808,"2023-10-16","18:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Lanús","Away","Against","D",3,1,2023
"9808",9809,"2023-10-25","18:30","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Belgrano","Home","Against","D",3,0,2023
"9809",9810,"2023-10-31","21:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Unión","Away","Against","L",3,0,2023
"9810",9811,"2023-11-05","18:30","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Racing Club","Home","Against","D",1,0,2023
"9811",9812,"2023-11-10","19:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","Estudiantes","Away","Against","W",5,0,2023
"9812",9813,"2023-11-27","19:00","Copa de la Liga Profesional","Group stage","Central Cordoba SdE","San Lorenzo","Home","Against","W",1,0,2023
"9813",9814,"2023-01-28","19:15","Liga Argentina","Matchweek 1","Independiente","Talleres","Away","For","W",3,1,2023
"9814",9815,"2023-02-05","17:00","Liga Argentina","Matchweek 2","Independiente","Platense","Home","For","L",0,1,2023
"9815",9816,"2023-02-11","21:30","Liga Argentina","Matchweek 3","Independiente","Vélez Sarsfield","Away","For","D",4,0,2023
"9816",9817,"2023-02-19","21:30","Liga Argentina","Matchweek 4","Independiente","Defensa y Just","Home","For","L",3,0,2023
"9817",9818,"2023-02-26","21:30","Liga Argentina","Matchweek 5","Independiente","Banfield","Away","For","D",4,1,2023
"9818",9819,"2023-03-05","17:00","Liga Argentina","Matchweek 6","Independiente","Instituto","Home","For","D",3,0,2023
"9819",9820,"2023-03-10","17:00","Liga Argentina","Matchweek 7","Independiente","Barracas Central","Away","For","D",1,1,2023
"9820",9821,"2023-03-18","19:00","Liga Argentina","Matchweek 8","Independiente","Colón","Home","For","D",3,0,2023
"9821",9822,"2023-04-01","19:00","Liga Argentina","Matchweek 9","Independiente","San Lorenzo","Away","For","D",7,1,2023
"9822",9823,"2023-04-09","14:00","Liga Argentina","Matchweek 10","Independiente","Estudiantes","Home","For","L",3,0,2023
"9823",9824,"2023-04-12","21:30","Liga Argentina","Matchweek 11","Independiente","Rosario Central","Away","For","L",1,0,2023
